Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal
4.0,4.0,3645.0,23.0,Residential,329000,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,189900,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,57900,E1
4.0,2.0,1584.0,0.7240000000000001,Residential,289900,E3
0.0,0.0,0.0,0.494,Empty Land,25000,E1
3.0,1.0,1380.0,0.7240000000000001,Family,139900,E3
3.0,1.0,1500.0,12.0,Residential,225000,E1
3.0,2.0,1600.0,0.7240000000000001,Family,109900,E2
0.0,0.0,0.0,2.2199999999999998,Empty Land,59900,E3
2.0,2.0,1232.0,0.102,Residential,259900,E1
0.0,0.0,0.0,2.2199999999999998,Empty Land,20000,E3
4.0,2.0,2146.0,0.7240000000000001,Family,174900,E7
2.0,1.0,1100.0,0.7240000000000001,Family,145000,E4
3.0,3.0,2700.0,0.7240000000000001,Family,309900,E2
3.0,2.0,1584.0,0.7240000000000001,Residential,267000,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,12500,E3
3.0,2.0,1584.0,0.7240000000000001,Family,104900,E8
2.0,2.0,1950.0,0.7240000000000001,Family,289900,E4
0.0,0.0,0.0,19.5,Empty Land,98000,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,44900,E1
4.0,3.0,2368.0,0.7240000000000001,Family,289900,E1
2.0,1.0,856.0,0.7240000000000001,Family,69900,E1
4.0,2.0,1584.0,0.7240000000000001,Family,179000,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,60000,E3
4.0,3.0,2691.0,1.005,Residential,259900,E4
0.0,0.0,0.0,2.2199999999999998,Empty Land,38500,E3
4.0,2.0,1092.0,0.7240000000000001,Family,254900,E1
3.0,2.0,1423.0,0.7240000000000001,Residential,230000,E4
2.0,1.0,1176.0,0.7240000000000001,Family,139900,E1
2.0,1.0,820.0,0.7240000000000001,Residential,94000,E4
2.0,1.0,1584.0,0.7240000000000001,Residential,89500,E5
2.0,1.0,1012.0,0.7240000000000001,Family,139500,E4
3.0,1.0,1584.0,0.7240000000000001,Residential,99000,E3
4.0,2.0,800.0,0.7240000000000001,Family,249000,E1
