Address,Beds,Baths,House Size,Lot Size,Type,Price,Postal Code
"81 Riverview Drive, Saint John West, New Brunswick",3.0,2.0,,,            Single Family        ,128000,
"3 Wharf Road, Burton, New Brunswick",5.0,2.0,,,            Single Family        ,279900,
"93 Savannah DR, Moncton, New Brunswick, E1A0J5",4.0,2.0,1322.0,,            Single Family        ,285000,
"1790 Bridge Street, Bathurst, New Brunswick, E2A5X5",,,,,            Vacant Land        ,12500,
"600 Crafts Cove Road, Wickham, New Brunswick",3.0,1.0,800.0,,            Single Family        ,169900,
"471 Paturel ST, Shediac, New Brunswick, E4P2L2",2.0,1.0,940.0,,            Single Family        ,189900,
"- Gooseberry Cove Road, Musquash, New Brunswick",,,,,            Vacant Land        ,99900,
"1026 Barachois, Dieppe, New Brunswick, E1A7S8",4.0,2.0,1680.0,,            Single Family        ,324500,
"284 Tobias AVE, Riverview, New Brunswick, E1B4W1",4.0,2.0,800.0,,            Single Family        ,249000,
"13 Alcorn ST, Lakeville, New Brunswick",2.0,1.0,856.0,,            Single Family        ,69900,
"59 Nugent ST, Dieppe, New Brunswick, E1A0S7",4.0,3.0,1348.0,,            Single Family        ,219500,
"25 Burnett Street, Oromocto, New Brunswick, E2V0J6",4.0,3.0,,,            Single Family        ,360000,
"9 Hopper, Moncton, New Brunswick, E1C8Y2",4.0,2.0,1092.0,,            Single Family        ,254900,
"2358 Route 490, Ammon, New Brunswick, E1G4R7",4.0,2.0,1600.0,,            Single Family        ,264900,
"183 Riverside Drive, Fredericton, New Brunswick, E3A6R1",,,,,            Vacant Land        ,99900,
"87 Ridgeline Crescent, Fredericton, New Brunswick, E3C0E0",3.0,3.0,,,            Single Family        ,319900,
"61 Mailhot, Moncton, New Brunswick, E1G1S6",3.0,2.0,1000.0,,            Single Family        ,234900,
"163 Riverside Drive, Fredericton, New Brunswick, E3A6R1",,,,,            Vacant Land        ,99900,
"228 Greenwood Drive, Fredericton, New Brunswick, E3A3T7",,,,,            Vacant Land        ,69900,
"1836 Route 620, Estey's Bridge, New Brunswick",,,,9.04,            Lots and Land        ,69500,
"22 Pebble Creek, Moncton, New Brunswick, E1E0C8",5.0,3.0,1519.0,,            Single Family        ,369900,
"33 Bellerive RD, Shemogue, New Brunswick",3.0,1.0,1000.0,,            Single Family        ,89900,
"Lot 14-5 Route 112, Canaan Forks, New Brunswick",,,,,            Vacant Land        ,17500,
"409 Paturel, Shediac, New Brunswick, E4P2L2",3.0,2.0,1768.0,,            Single Family        ,384900,
"13 Sussex Drive, Pokiok, New Brunswick",3.0,2.0,1600.0,,            Single Family        ,109900,
"- Access Road, Greater Saint Martins, New Brunswick",,,,1.014,            Vacant Land        ,7500,
"2 Bickerton AVE, Sackville, New Brunswick, E4L3M7",4.0,2.0,2122.0,,            Single Family        ,248800,
"15 Laity DR, Upper Coverdale/Turtle Creek, New Brunswick",3.0,5.0,4200.0,,            Single Family        ,799000,
"Lot Boyne Road, Hoyt, New Brunswick",,,,,            Vacant Land        ,25000,
"16 Shemogue Rd., Port Elgin, New Brunswick, E4M 1C3",4.0,1.0,1771.0,,            Residential        ,119996,E4M 1C3
"180 Marie, Beresford, New Brunswick, E8K1P8",3.0,2.0,,,            Single Family        ,295000,
"3 Route 1127, Harvey, New Brunswick, E6K2S5",3.0,2.0,1962.0,,            Single Family        ,229900,
"87 Ridgeline Crescent, Fredericton, New Brunswick, E3C0E0",3.0,3.0,,,            Single Family        ,319900,
"27 Corbett Ave, Fredericton, New Brunswick, E3A 3X3",3.0,1.0,1209.0,0.195,            Residential        ,144900,E3A 3X3
"1790 Bridge Street, Bathurst, New Brunswick, E2A5X5",,,,,            Vacant Land        ,12500,
"167 Hillcrest Drive, Island View Heights, New Brunswick",3.0,2.0,,0.215,            Single Family        ,189900,
"469 Belleisle Shore Road, Kars, New Brunswick",,,,,            Vacant Land        ,169900,
"21 Elgin Road, Forest Hills, New Brunswick",4.0,1.0,1708.0,,            Single Family        ,159700,
"183 Riverside Drive, Fredericton, New Brunswick, E3A6R1",,,,,            Vacant Land        ,99900,
"66 Neville Street, Fredericton, New Brunswick, E3A4Z5",3.0,2.0,2750.0,,            Single Family        ,239900,
"60 T J McMackin, Greater Salisbury, New Brunswick",1.0,1.0,720.0,,            Single Family        ,86900,
"102 Glebe Road, Chamcook, New Brunswick",2.0,1.0,,,            Single Family        ,199000,
"452 Douglas Avenue, Indiantown, New Brunswick",5.0,2.0,,,            Single Family        ,149900,
"210 - 500 Venus Crt., Fredericton, New Brunswick, E3B 3A9",1.0,1.0,1138.0,,            Residential        ,144500,E3B 3A9
"138 Nevers Road, Nevers Road, New Brunswick",2.0,1.0,840.0,,            Single Family        ,134900,
"9 Hopper, Moncton, New Brunswick, E1C8Y2",4.0,2.0,1092.0,,            Single Family        ,254900,
"51 Ridgewood Drive, Sackville, NB, Sackville, New Brunswick, E4L 4T5",5.0,3.0,2728.0,1.173,            Residential        ,339900,E4L 4T5
