Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal Code
"75 Church Street, Sackville, NB, Sackville, New Brunswick, E4L 2Y8",,,,0.287,            Lots And Land        ,19000,E4L 2Y8
#NAME?,,,,,            Lots And Land        ,8000,E5A1V9
"7 ACRES, SANDY PT RD, (Ch. Pointe aux Sable), Miramichi, New Brunswick, E9A 1J4",,,,7,            Lots And Land        ,40000,E9A 1J4
"10 Murray Lane, Oak Bay, New Brunswick",4,3,2069,1.29,            Residential        ,464900,E3L4H9
#NAME?,,,,,            Lots And Land        ,345000,E5B3Y1
#NAME?,,,,,            Lots And Land        ,23500,E3L4N1
"20 Board Road Extension, Oak Bay, New Brunswick",2,1,,,            Residential        ,299000,E3L4K4
"62 Irene - Spring 2020, Shediac, New Brunswick, E4P0S4",3,2,1423,,            Residential        ,230000,E4P0S4
"Colpitts Road, Colpitts Settlement, New Brunswick",,,,6.35,            Residential        ,29900,E4J3G4
"Colpitts Road, Colpitts Settlement, New Brunswick",,,,6.35,            Residential        ,29900,E4J3G4
"637 Route 170 Route, Oak Bay, New Brunswick",5,2,,,            Residential        ,169900,E3L4C3
"15 Church St., Port Elgin, New Brunswick, E4M 2E1",3,1,1350,,            Residential        ,92000,E4M 2E1
"Manhurst Cross Road - Lot 1, Sussex, New Brunswick",,,,1.5,            Lots And Land        ,9900,E4G1G6
"32 King Street, St. Stephen, New Brunswick",,,,,            Lots And Land        ,99000,E3L2Y6
"Lot 01-2 Rte 117, Hardwicke Road, Black River - Hardwicke, New Brunswick",,,,7,            Lots And Land        ,49900,E9A1K2
"Lot # 85-139, Campobello Island, New Brunswick",,,,1.21,            Lots And Land        ,25000,E5E1X2
"79 Moody's Shore Road, Bass River, New Brunswick",2,1,900,0.959,            Other        ,245000,E4T1C7
"Shore Lot 3+3A Baron Lane, Dufferin, New Brunswick",,,,,            Lots And Land        ,139000,E3L3R7
"42 Laforest - Spring 2020, Shediac, New Brunswick, E4P 0R8",3,1,1488,,            Residential        ,255000,E4P 0R8
"4639 Route 114, Shepody, New Brunswick",4,1,1632,1.55,            Residential        ,124900,E4H4J8
"640 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.12,            Residential        ,260900,E1H 3S7
"Gum Road, Miramichi, New Brunswick",,,,34.59,            Lots And Land        ,19900,E1V7H1
"5 Birchwood Court, St. Stephen, New Brunswick",3,2,,,            Residential        ,198000,E3L2V2
"19 Lakeshore Drive, Sackville, NB, Sackville, New Brunswick, E4L 3A3",4,4,3131,,            Residential        ,474900,E4L 3A3
"Camp and Land, Centre Village, NB, Greater Sackville, New Brunswick",2,,256,,            Other        ,49900,E4L 1X9
"370 Sweeney Lane, Miramichi, New Brunswick, E1V 3B1",3,1,1540,0.122,            Residential        ,67900,E1V 3B1
"13 Ledgewood Drive, Crocker Hill, New Brunswick",3,1,2844,,            Residential        ,169500,E3L3Z7
"98-3 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,189900,E5B3G4
"47 Queen Street East, St. Stephen, New Brunswick",3,3,1636,,            Residential        ,174500,E3L2J5
"Lot 89-2, Route 445, Fair Isle, New Brunswick",,,,2.44,            Lots And Land        ,13400,E9G2M7
"360 Colpitts Road, Colpitts Settlement, New Brunswick",3,2,2064,8.2,            Residential        ,244900,E4J1B6
"87-3 Pine Point Road, Saint Stephen, New Brunswick, E3L 3N6",,,,,            Lots And Land        ,179000,E3L 3N6
"202 Woodbine Lane, Kingsclear, New Brunswick, E3E 1S5",4,3,1202,1.41,            Residential        ,459900,E3E 1S5
"98-2 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,189900,E5B3G4
"28 Erinvale Drive, Moncton, New Brunswick, E1A 9N6",5,4,5880,0.485,            Residential        ,1090000,E1A 9N6
"100 Second Street, Rothesay, New Brunswick, E2H 1M5",4,3,3350,0.334,            Residential        ,389900,E2H 1M5
"133 York St, Moncton, New Brunswick, E1C 2Z1",3,2,2443,0.098,            Residential        ,164900,E1C 2Z1
"Vacant Lot, Route 960, Cape Spear, NB, Cape Spear, New Brunswick",,,,2.1,            Residential        ,109900,E4M3W9
"Lot Union Street, St. Stephen, New Brunswick",,,,,            Lots And Land        ,69000,E3L1T2
"27 Spring Street, St. Stephen, New Brunswick, E3L 1K6",3,1,1229,0.38,            Residential        ,89900,E3L 1K6
"Route 885 - Lot, Greater Salisbury, New Brunswick",,,,,            Lots And Land        ,19900,E4J1T6
"98-1 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,145000,E5B3G4
"274 Milltown Boulevard, St. Stephen, New Brunswick",4,2,,,            Residential        ,249500,E3L1H6
"Herring Cove Road, Campobello Island, New Brunswick, E5E 1C3",,,,10,            Lots And Land        ,350000,E5E 1C3
"208 Upper Mills Road, Greater Saint Stephen, New Brunswick",2,1,,,            Residential        ,79500,E3L3E8
"415 Beckwith Road, Greater Salisbury, New Brunswick",2,2,1980,4,            Residential        ,224900,E4Z3J3
"65 North Road, Campobello Island, New Brunswick",7,2,3700,1.8,            Residential        ,495000,E5E1A1
"876 Route 172, Greater St. George, New Brunswick",2,1,,,            Residential        ,89500,E5C3E6
"41 Granada Ave, Fredericton, New Brunswick, E3A 9T6",6,3,1160,0.161,            Residential        ,289900,E3A 9T6
"29 Flint Court, Moncton, New Brunswick",4,3,,0.09,            Residential        ,399900,E1G2H3
"88 Woods Terrace, Unit #201, Moncton, New Brunswick, E1G 1X6",2,2,1298,,            Condominium        ,254900,E1G 1X6
"Lot 85-68 Fern Drive, Campobello Island, New Brunswick, E5E 1C1",,,,1,            Lots And Land        ,25000,E5E 1C1
"51 ALEX JACK DETOUR Road, Utopia, New Brunswick",3,2,,,            Residential        ,295000,E5C2G4
"225 Serenity Lane, Fredericton, New Brunswick, E3B 0H1",2,1,1400,,            Condominium        ,124900,E3B 0H1
"21 Whispering Pines Lane, Crocker Hill, New Brunswick",2,2,,,            Residential        ,289900,E3L0A1
"Murray Road Bartletts Mills, St. Andrews, New Brunswick",,,,44,            Lots And Land        ,10000,E5B2Y8
"16 tower Road, Cape Tormentine, NB, Cape Tormentine, New Brunswick",,,,1.394,            Lots And Land        ,69900,E4M0C4
"175 Anderson Mill Road, Memramcook, NB, Memramcook, New Brunswick, E4K 2G5",2,1,960,,            Residential        ,63000,E4K 2G5
"Manhurst Cross Road - Lot 2, Greater Havelock, New Brunswick",,,,1.5,            Lots And Land        ,9900,E4Z5S8
"Lot 1 & 2, Collins Lake Road, Shemogue, NB, Shemogue, New Brunswick, E4N 2N1",,,,51,            Lots And Land        ,29900,E4N 2N1
"Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3L2",,,,,            Residential        ,48900,E1H 3L2
"LOT 2006-4 Carl Avenue, Greater Kingsclear, New Brunswick",,,,,            Lots And Land        ,99000,E6K2W9
"Knightville Road, Knightville, New Brunswick",,,,,            Farm And Agriculture        ,715000,E4G1E7
"278 Manor Road, St. George, New Brunswick, E5C 2J4",,,,,            Lots And Land        ,17000,E5C 2J4
"4 Mcadam Court, St. Stephen, New Brunswick",4,2,,,            Residential        ,169900,E3L3G6
"63 Balsam Ave, Noonan, New Brunswick",,,,1.3,            Lots And Land        ,39900,E3A0J8
"Deer Island Point  Route 772, Deer Island, New Brunswick",,,,18,            Lots And Land        ,139000,E5V1G5
"106  Fraser Street, St. Stephen, New Brunswick",2,1,840,,            Other        ,45000,E2L4J7
#NAME?,,,,,            Lots And Land        ,149900,E5B2Y7
"124 Queen Street West, St. Stephen, New Brunswick",,,,,            MultiFamily        ,99000,E3L2L2
"963 Forest Hill Rd, Fredericton, New Brunswick, E3B 7G6",3,2,,0.226,            Residential        ,309900,E3B 7G6
"13 Abbott, Saint Stephen, New Brunswick, E2L 3C4",3,1,,,            Residential        ,210000,E2L 3C4
"799 Route 11, Miramichi, New Brunswick, E1V 7C9",2,1,616,0.253,            Other        ,29000,E1V 7C9
"Lot 15-2 Winterport Way, Fredericton, New Brunswick",,,,1,            Lots And Land        ,45000,E3A8H4
"254 Ledge Road, Crocker Hill, New Brunswick",3,2,,,            Residential        ,219000,E3L3Z3
"20 Cape Spear Cross Road, Cape Spear, NB, Cape Spear, New Brunswick",3,2,1120,80,            Residential        ,189900,E4M1E8
"15 Will Blakney Road, Greater Salisbury, New Brunswick",3,1,1960,2.9,            Residential        ,249900,E4J3K7
"44 Meadow Lane, Sackville, NB, Sackville, New Brunswick, E4L 0A1",,,,0.365,            Residential        ,42500,E4L 0A1
"1390 Route 770, St. George, New Brunswick, E5C 1E8",2,1,,,            Residential        ,79900,E5C 1E8
"15 Pyne, Miramichi, New Brunswick",8,4,2688,0.308,            MultiFamily        ,99900,E1N2X7
"40 Mill Road, Elgin, New Brunswick, E4Z 2A6",3,1,1248,0.5,            Residential        ,109900,E4Z 2A6
"65 Howard Street, Miramichi, New Brunswick, E1N 1V7",4,2,1728,0.095,            Residential        ,109900,E1N 1V7
"Lot 6 Upper Durham Road, Upper Durham, New Brunswick",,,,1,            Lots And Land        ,16700,E6C1B3
"4780 Route 106, Middleton, NB, Dorchester, New Brunswick, E4K 3H7",3,2,2204,1.21,            Residential        ,84900,E4K 3H7
"Lot Upper Mills Road, Greater Saint Stephen, New Brunswick",,,,,            Lots And Land        ,48000,E7L5X7
"Old Saint John Road, Lepreau, New Brunswick",,,,225,            Lots And Land        ,139000,E5J1M5
"991 Portage Vale Road, Portage Vale, New Brunswick",,,,2,            Lots And Land        ,17500,E4Z3E4
"Land Paradox Point, Bocabec, New Brunswick",,,,,            Lots And Land        ,199500,E5B3Y1
"Lot 01-3, Rte 117, Black River - Hardwicke, New Brunswick",,,,7,            Residential        ,49900,E9A1L7
"127 King Street, St. Stephen, New Brunswick",4,2,,,            Residential        ,119900,E3L2H9
"601 Anagance Ridge Road, Greater Havelock, New Brunswick",4,2,2592,1,            Residential        ,234900,E4Z2T7
"98-16 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,60000,E5B3G6
"175 Ledden Street, Miramichi, New Brunswick, E1V 2G8",4,2,1780,0.134,            Residential        ,104200,E1V 2G8
"1449 Amirault, Dieppe, New Brunswick, E1A4T4",4,1,1405,0.145,            Residential        ,180000,E1A4T4
"130 Paradox Point, Bocabec, New Brunswick",4,5,,,            Residential        ,998500,E5B3X1
"105 West Lane, Moncton, New Brunswick, E1C 6T8",,,,,            Residential        ,139900,E1C 6T8
"512 Canada Street, Fredericton, New Brunswick, E3A  4A7",3,2,1440,0.304,            Residential        ,175000,E3A4A7
"10 McLaren Dr, Saint Andrews, New Brunswick",,,,1.22,            Residential        ,29000,E5B3E3
"40 Jessica, Fredericton, New Brunswick",4,2,1996,2.132,            Residential        ,259900,E3A6T7
"682 Memramcook East, Memramcook, New Brunswick, E4K 1N1",4,1,1545,1.9,            Residential        ,75900,E4K 1N1
"3771 Route 535, Cocagne, New Brunswick",3,1,1824,,            Residential        ,189900,E4R3E7
"2  Scovil Street, Deer Island, New Brunswick",4,1,1272,0.028,            Residential        ,129000,E5V1V8
"238 Ledge Road, St. Stephen, New Brunswick",4,4,3645,23,            Residential        ,329000,E3L3Z4
"Land Bunker Hill Road, Campobello Island, New Brunswick",,,,2.8,            Lots And Land        ,9900,E5E1M3
"68 Acres Welfield Road, Miramichi, New Brunswick",,,,68,            Lots And Land        ,35000,E1V3K3
"95 McGregor St., Fredericton, New Brunswick, E3A 7V5",,,,0.212,            Lots And Land        ,42500,E3A 7V5
"32 Laforest - Spring 2020, Shediac, New Brunswick, E4P 0R8",3,1,1277,,            Residential        ,223000,E4P 0R8
"Deer Island Point Road, Deer Island, New Brunswick",,,,1.34,            Lots And Land        ,79900,E5V1T4
"547 Main, Blacks Harbour, New Brunswick, E5H1B9",4,2,,,            Residential        ,102000,E5H1B9
"Lot 05-1 Wellington St, Miramichi, New Brunswick, E1N 3L4",,,,0.494,            Lots And Land        ,25000,E1N 3L4
"98-14 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,70000,E5B3G6
"98-13 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,99000,E5B3G5
"183 St. Patrick's Drive, Miramichi, New Brunswick, E1N 5X4",2,1,870,0.379,            Residential        ,89000,E1N 5X4
"650 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.102,            Residential        ,259900,E1H 3S7
"Lot 1 Murdock Rd, Miramichi, New Brunswick, E1N 4Y9",,,,10.3,            Lots And Land        ,19900,E1N 4Y9
"966 Bourque road, Dieppe, New Brunswick, E1A7L3",6,3,5250,2.15,            Residential        ,850000,E1A7L3
"118 Route 735, Western Charlotte, New Brunswick",2,2,960,1.17,            Residential        ,144000,E3L5E6
"7453 Route 3, Baille, New Brunswick",5,1,,,            Residential        ,99000,E5A1G5
"894 Shediac Road, Moncton, New Brunswick, E1A 5X6",4,3,4307,,            Residential        ,498600,E1A 5X6
"Vacant Land Chamcook NB, Saint Andrews, New Brunswick",,,,5,            Lots And Land        ,29990,E5B3A1
"126 King Street, Saint Andrews, New Brunswick",5,3,3242,,            Residential        ,399000,E5B1Y6
"131 Old School House Road, Birneys Lake, New Brunswick",4,2,4030,,            Residential        ,339000,E5A2H1
"41 King Street, Petitcodiac, New Brunswick, E4Z 4K8",3,1,1008,1.148,            Residential        ,135900,E4Z 4K8
#NAME?,,,,,            Lots And Land        ,29000,E5A1B2
"92 McGregor St., Fredericton, New Brunswick, E3A 7V5",,,,0.212,            Lots And Land        ,42500,E3A 7V5
"Lot 1 - 3.89 Acres Sandy Point Rd., Miramichi, New Brunswick, E9A 1L2",,,,3.9,            Lots And Land        ,59900,E9A 1L2
"21 Dufferin, Sackville, NB, Sackville, New Brunswick, E4L 2Y8",4,1,1849,0.42,            Residential        ,109900,E4L 2Y8
"600 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.123,            Residential        ,264900,E1H 3S7
"182 Union Street, St. Stephen, New Brunswick",3,2,,,            Residential        ,89000,E3L1W1
"Lot 1 - 3.89 Acres Sandy Point Rd., Miramichi, New Brunswick, E9A 1L2",,,,3.9,            Lots And Land        ,59900,E9A 1L2
"21 Dufferin, Sackville, NB, Sackville, New Brunswick, E4L 2Y8",4,1,1849,0.42,            Residential        ,109900,E4L 2Y8
"600 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.123,            Residential        ,264900,E1H 3S7
"182 Union Street, St. Stephen, New Brunswick",3,2,,,            Residential        ,89000,E3L1W1
"Vacant Land Utopia, St. George, New Brunswick, E5H 2M1",,,,100,            Lots And Land        ,20007,E5H 2M1
"9 Church Street, St. Stephen, New Brunswick, E3L 1L3",,,,,            Lots And Land        ,12500,E3L 1L3
"67 Sebastien, Shediac, New Brunswick, E4P 0K7",3,3,2300,,            Residential        ,329000,E4P 0K7
"Lot 89-1 Route 445, Fair Isle, New Brunswick",,,,1.03,            Lots And Land        ,8000,E9G2M7
"Lot 15-1 Winterport Way, Fredericton, New Brunswick",,,,1,            Lots And Land        ,50000,E3A1X5
"50 Queen Street East, St. Stephen, New Brunswick",2,2,,,            Residential        ,149000,E3L2J6
"- Lots 1, 2, 3, 4 Oak Bay Lilly Hill, Saint Stephen, New Brunswick, E3L 5E8",,,,,            Lots And Land        ,59900,E3L 5E8
"51 Champion, Dieppe, New Brunswick, E1A 9E9",5,,3595,0.419,            Residential        ,569900,E1A 9E9
"Lot #28 Streamfront, Piskahegan, New Brunswick",,,,,            Lots And Land        ,12000,E5C0A8
"85 Lakeshore Drive, Bethel, New Brunswick",,,,,            Lots And Land        ,49000,E5C1N0
"100 acres Route 735, Western Charlotte, New Brunswick",,,,,            Lots And Land        ,59000,E3L5G4
"5 Confederation Crescent, Miramichi, New Brunswick, E1V 4Z8",,,,0.18,            Lots And Land        ,24900,E1V 4Z8
"28 Guy - Spring 2020, Shediac, New Brunswick, E4P 0L5",3,1,1124,,            Residential        ,212000,E4P 0L5
"45 Percy Kelly Drive, Miramichi, New Brunswick, E1V 5V5",2,1,1008,0.25,            Residential        ,129900,E1V 5V5
"8 Anahid St, Moncton, New Brunswick, E1G 4T7",2,1,1000,0.082,            Residential        ,139000,E1G 4T7
"Lot 89-4 Route 445, Fair Isle, New Brunswick",,,,2.55,            Lots And Land        ,13400,E9G2M7
"Lot Route 530, Grande Digue, New Brunswick",,,,0.623,            Residential        ,30000,E4R5G8
"2852 Route 117, Kouchibouguac, New Brunswick",,,,1.02,            Residential        ,75000,E4X2P2
"Vacant Lot #2 Rankine Road, Bayside, New Brunswick",,,,13,            Lots And Land        ,71500,E5B2V2
"20 Knowlton Crescent, Oromocto, New Brunswick, E2V 4S8",4,3,2168,0.148,            Residential        ,364900,E2V 4S8
"46 Main Street B, St. Stephen, New Brunswick",,,,,            Lots And Land        ,20000,E3L1Z5
"4363 Route 3, Saint Stephen, New Brunswick, E6K 1Y4",,,,,            Lots And Land        ,79900,E6K 1Y4
"64 Henderson Street, Miramichi, New Brunswick",,,,,            Lots And Land        ,28850,E1N2R5
"2255 Mountain Rd., Moncton, New Brunswick, E1J 1B6",,,,4,            Residential        ,450000,E1J 1B6
"7888 Route 112 Hunters home, Greater Salisbury, New Brunswick",,,,,            Other        ,32000,E4Z3H7
"8 Second Street, Petitcodiac, New Brunswick, E4Z 4V9",2,1,1200,,            Residential        ,119900,E4Z 4V9
"1180 Route 725, Saint Stephen, New Brunswick, E3L 5R2",3,2,,,            Residential        ,174000,E3L 5R2
"423 Route 725, Dennis-Weston, New Brunswick",2,1,,,            Residential        ,109000,E3L4V9
"281 Milltown Blvd, St. Stephen, New Brunswick, E3L 1H8",4,1,2157,0.33,            Residential        ,269000,E3L 1H8
"1431 Route 755, St. Stephen, New Brunswick",,,594,3,            Lots And Land        ,25000,E5A2P8
"1886 Route 515, Bouctouche, New Brunswick",4,1,1775,,            Residential        ,92000,E4S0B3
"124 Chamcook Lake #1 Road, Chamcook, New Brunswick",,,,,            Lots And Land        ,110000,E5B3C3
"98-15 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,70000,E5B3G6
"9069 Route 3, Saint Stephen, New Brunswick, E3L 4W9",,,,,            Lots And Land        ,60000,E3L 4W9
"LOT 2 MURDOCK RD., Miramichi, New Brunswick, E1N 4Y9",,,,10.3,            Lots And Land        ,19900,E1N 4Y9
"15 Bridge St., Stanley, New Brunswick, E6B-1B1",4,2,2264,0.302,            Residential        ,205000,E6B-1B1
"LOT # 2 Oaksway Street, St. Stephen, New Brunswick",,,,,            Lots And Land        ,39500,E3L1P8
"- Route 127, Bayside, New Brunswick, E5B 2T9",,,,,            Lots And Land        ,59000,E5B 2T9
"37 Rose Street, St. Stephen, New Brunswick, E3L 2R1",2,1,730,0.24,            Residential        ,69900,E3L 2R1
"Route 170, St. Stephen, New Brunswick",,,,2.79,            Lots And Land        ,30000,E3L 0G1
"2.74 Acres Hopps Lane, Oak Haven, New Brunswick",,,,,            Lots And Land        ,49900,E3L3V3
"10 Downey Lane, Dennis-Weston, New Brunswick",4,1,1082,1.24,            Residential        ,157900,E3L4V9
"- Route  725, Western Charlotte, New Brunswick",,,,,            Lots And Land        ,15900,E3L 5N6
"60 Route 735, Western Charlotte, New Brunswick",3,1,,,            Residential        ,89500,E3L5E6
"10 Downey Lane, Dennis-Weston, New Brunswick",4,1,1082,1.24,            Residential        ,157900,E3L4V9
"- Route  725, Western Charlotte, New Brunswick",,,,,            Lots And Land        ,15900,E3L 5N6
"60 Route 735, Western Charlotte, New Brunswick",3,1,,,            Residential        ,89500,E3L5E6
"40 Queen Street West, St Stephen, St. Stephen, New Brunswick, E3L2K3",2,1,1590,0.26,            Residential        ,87000,E3L2K3
"11 Pagan Street, St. Stephen, New Brunswick",4,1,,,            Residential        ,119000,E3L1R9
"62 Duffy Rd., Riverview, New Brunswick",3,1,1500,12,            Residential        ,225000,E1J1A9
"98-12 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,110000,E5B3G5
"4000 SQ M LOT 91-1 Rte 117, Escuminac, Miramichi, New Brunswick, E9A 1R4",,,,0.988,            Lots And Land        ,19900,E9A 1R4
"1046-1048 North Road, Campobello Island, New Brunswick",6,3,2100,5,            Residential        ,399900,E5E1E5
#NAME?,,,,,            Lots And Land        ,129500,E5B3X1
"6 Green Acres Lane, Salisbury, New Brunswick, E4J 0B4",4,2,2300,0.724,            Residential        ,274900,E4J 0B4
"27 Fraser, Oak Bay, New Brunswick",3,1,1468,,            Residential        ,49000,E3L4B5
"Waterfront Acreage on Braveheart Road, Renous - Quarryville, New Brunswick",,,,5.51,            Lots And Land        ,65000,E9B0A4
"20 Riverdise Drive, Saint Stephen, New Brunswick, E3L 1B7",3,2,,,            Residential        ,114000,E3L 1B7
"50 acres Splan Pond Area Route, Dennis-Weston, New Brunswick",,,,,            Lots And Land        ,38500,E3L5G7
"7878 Hunters Home, Havelock, New Brunswick",1,1,1200,,            Residential        ,249000,E4C3J6
"Lot 4741 Rte 117, Upper Miramichi, New Brunswick",,,,2.5,            Lots And Land        ,19900,E1N5L7
"258 Royree Road, Western Charlotte, New Brunswick",2,1,,,            Residential        ,115000,E3L5S4
"98-11 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,            Lots And Land        ,135000,E5B3G5
"213 Maces Bay Road, Maces Bay, New Brunswick",,,,,            Lots And Land        ,29900,E5J1S6
"14 Gowan Loop Rd, Saint Andrews, New Brunswick",1,,720,1,            Residential        ,79000,E5B3K3
"550 Cookville Road, Greater Sackville, New Brunswick",,,,644.89,            Farm And Agriculture        ,2300000,E4L2A7
"3 Newport DR, Moncton, New Brunswick, E1G2L9",3,1,1050,,            Single Family        ,149900,E1G2L9
"Lot 3 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,            Vacant Land        ,129500,E2G2A1
"3 Gabriel Street, Edmundston, New Brunswick",,,,,            Vacant Land        ,35000,E7B1S5
"110 Route 1148, Tracey Mills, New Brunswick",3,1,1200,,            Single Family        ,114900,E7K2C2
"125 Cocagne Sud, Cocagne, New Brunswick, E4R2J8",3,2,1826,,            Single Family        ,224900,E4R2J8
"44 Hamilton RD, Elgin, New Brunswick, E4Z1V8",2,2,1092,,            Single Family        ,99000,E4Z1V8
"1012 Route 820, Barnesville, New Brunswick",3,1,,2.3,            Single Family        ,89900,E5N3K9
"65 Curry, Moncton, New Brunswick, E1A3V6",3,1,750,,            Single Family        ,64900,E1A3V6
"41 Desrosiers, Dieppe, New Brunswick, E1A7W5",4,4,2483,,            Single Family        ,389900,E1A7W5
"17 Anchorage Avenue, Millidgeville, New Brunswick",4,4,4300,,            Single Family        ,499000,E2K5R1
"1346 Four Road, Inkerman, New Brunswick",3,1,,,            Single Family        ,150000,E8P1E8
"56 Pincher Street, Greater Woodstock, New Brunswick",4,2,2146,,            Single Family        ,174900,E7M5H1
"13 des Erables RD, Dieppe, New Brunswick, E1A8X7",3,3,1750,,            Single Family        ,229000,E1A8X7
"34 Louise Court, Fredericton, New Brunswick, E3G5M5",4,4,3416,,            Single Family        ,499900,E3G5M5
"43 Larochelle, Dieppe, New Brunswick, E1A9B6",4,4,2248,,            Single Family        ,454900,E1A9B6
"66 Martindale DR, Moncton, New Brunswick, E1G2J3",3,2,1290,,            Single Family        ,169900,E1G2J3
#NAME?,,,,,            Vacant Land        ,125000,E1W1A7
"225 SERENITY Lane Unit 325, Fredericton, New Brunswick, E3B0H1",2,1,,,            Single Family        ,137500,E3B0H1
"Lot 14-6 & 14-7 Burtis Way, Cumberland Bay, New Brunswick",,,,,            Vacant Land        ,179900,E4A0B8
"365 Gibson Street, Fredericton, New Brunswick, E3A4E7",2,1,1100,,            Single Family        ,149900,E3A4E7
"Lot#78 Apple Blossom Trail, Hampton, New Brunswick, E5N0J6",3,2,,,            Single Family        ,321500,E5N0J6
"60 Carrie Street, Rusagonis - Waasis, New Brunswick",3,2,1080,,            Single Family        ,166700,E3B8W3
"20 Sedona CRES, Moncton, New Brunswick, E1G5X6",1,2,1420,,            Single Family        ,310000,E1G5X6
"102 Central Avenue, Island View Heights, New Brunswick",2,2,1008,,            Single Family        ,165000,E2M4C7
"131 Lawrence Long Road, Acamac, New Brunswick",1,1,,0.402,            Single Family        ,89900,E2M6A2
"35 Walker Crescent, Hampton, New Brunswick, E5N5Z7",4,2,,,            Single Family        ,125000,E5N5Z7
"397 Parkhurst Drive, Fredericton, New Brunswick, E3B2K2",4,2,,,            Single Family        ,284900,E3B2K2
"Vacant Lot 3 Route, Brockway, New Brunswick",,,,,            Vacant Land        ,79900,E6K2B6
#NAME?,,,,,            Vacant Land        ,19500,E5E1E5
#NAME?,,,,,            Vacant Land        ,758000,E2E3T4
"378 BROAD Road, Geary, New Brunswick",5,2,,,            Single Family        ,94900,E2V3P6
"635 3ime ave Avenue, Grand Sault/Grand Falls, New Brunswick",5,3,,,            Single Family        ,199500,E3Z 1A3
"29 Sheffield Court, Fredericton, New Brunswick, E3B4M9",,,1824,,            Multi-family        ,214900,E3B4M9
"64 Madonna Drive, Greater Kingsclear, New Brunswick",3,2,2800,,            Single Family        ,298900,E3E2N1
"20 Acadie Siding, Acadie Siding, New Brunswick",2,1,,,            Single Family        ,39995,E4Y1R6
"44 Shore Road, Maquapit Lake, New Brunswick",3,1,716,,            Single Family        ,239000,E4B4A7
"78 Point Park DR, Riverview, New Brunswick, E1B1C5",3,2,952,,            Single Family        ,174900,E1B1C5
"Lot 76-2 Renaud, Saint - Antoine, New Brunswick",,,,,            Vacant Land        ,24900,E4V3H3
"180 Murielle CRES, Dieppe, New Brunswick, E1A8J1",4,3,1200,,            Single Family        ,309000,E1A8J1
"186 Lincoln Road, Fredericton, New Brunswick, E3B2A3",5,4,5720,,            Single Family        ,474900,E3B2A3
"83 ch Rang 5, Saint-Basile, New Brunswick",3,1,,,            Single Family        ,129900,E7C2B3
"Lot Melanie Street, Grand Falls - Grand-Sault, New Brunswick",,,,,            Vacant Land        ,42500,E3Y3T3
"105 Route 2950, Bear Island, New Brunswick",3,3,,,            Single Family        ,599900,E6L1H5
"Lot Route 945, Haute Aboujagane, New Brunswick, E4P5T3",,,,,            Vacant Land        ,59000,E4P5T3
"323 Irving BLVD, Bouctouche, New Brunswick, E4S3K8",2,2,1309,,            Single Family        ,219900,E4S3K8
"1259 Route 425, Whitney, New Brunswick",4,2,,,            Single Family        ,224900,E1V4K6
"122 Cunard, Richibucto, New Brunswick, E4W3Z4",2,1,1012,,            Single Family        ,139500,E4W3Z4
"24 Alderwood Street, Island View Heights, New Brunswick",3,2,1450,0.026,            Single Family        ,135000,E2M5X4
"182 Chartersville RD, Dieppe, New Brunswick, E1A1K4",4,3,2368,,            Single Family        ,289900,E1A1K4
"5398 Route 105, Whites Cove, New Brunswick",3,1,1040,,            Single Family        ,59900,E4C3H6
"3624 Route 530, Grande Digue, New Brunswick",5,2,1536,,            Single Family        ,239900,E4R5P4
"582 Chartersville, Dieppe, New Brunswick, E1A1K6",4,2,966,,            Single Family        ,196900,E1A1K6
"90 Westminster Court, Millidgeville, New Brunswick",3,3,2441,,            Single Family        ,339000,E2K4S3
"138 Britain Street, Saint John Centre, New Brunswick",,,3267,,            Multi-family        ,140000,E2L1X5
"10 & 14 107 Route, Nashwaak Bridge, New Brunswick",5,2,,,            Single Family        ,139900,E6C2G7
"111 Janice, Moncton, New Brunswick, E1A0C5",4,2,1248,,            Single Family        ,269900,E1A0C5
"63 Nightingale Lane, Quispamsis, New Brunswick, E2E3T1",3,3,,,            Single Family        ,364900,E2E3T1
"101 Leinster Street, Saint John Centre, New Brunswick",,,2800,,            Multi-family        ,379000,E2L1J4
